case_id,title,category,severity,device_type,source_device,destination_device,symptoms,topology_notes,expected_fault,expected_osi_layer,concept_tag,ai_root_cause,ai_confidence,ai_confidence_score,human_decision,reviewer,status,created_at
6a832d6455a03a9e430c19a3,"DNS Resolution Failing — Client DNS IP Set to Non-Existent Host",DNS,medium,"PC + Router","PC1","DNS Server (192.168.1.10)","Users can ping external IPs (8.8.8.8) but cannot browse websites by name (e.g. www.cisco.com fails). nslookup times out after 2 seconds.","LAN subnet 192.168.1.0/24. Actual DNS server is 192.168.1.10. PC static configuration has DNS set to 192.168.1.254 (non-existent).","DHCP pool configures DNS server as 192.168.1.254 instead of 192.168.1.10.","Layer 7 (Application)","DNS; DHCP Options; Name Resolution","DHCP pool LAN_POOL on router advertises invalid DNS server 192.168.1.254. Hosts cannot resolve domain names despite valid IP routing to external destinations.",high,95,accepted,"Helpdesk Lead",verified,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19a8,"Router CLI Hangs on Mistyped Commands (Domain Lookup Timeout)",DNS,low,"Router","Admin Console","DNS Broadcast (255.255.255.255)","Whenever engineer mistypes a command in privilege exec mode, console freezes for 30 seconds with ""Translating mistyped_command... domain server (255.255.255.255)"".","Lab router R1 has default ""ip domain-lookup"" enabled without a valid DNS server configured.","Default ""ip domain-lookup"" enabled on router without nameserver.","Layer 7 (Application)","DNS; CLI Usability; Domain Lookup","Router interprets mistyped CLI inputs as hostnames and sends broadcast DNS queries to 255.255.255.255, hanging the terminal until timeout occurs.",high,98,accepted,"Lab Admin",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19ad,"Static Route Missing — Branch Cannot Reach HQ Subnet",Routing,critical,"Router","Branch PC (10.2.0.10)","HQ Server (10.1.0.50)","Branch PC cannot ping HQ server. Branch router R2 has default route to ISP, but HQ LAN 10.1.0.0/24 is not reachable.","Branch R2 connects to HQ R1 over point-to-point WAN 203.0.113.0/30. R1 is 203.0.113.1, R2 is 203.0.113.2.","Missing static route for 10.1.0.0/24 on R2 AND return route on R1.","Layer 3 (Network)","Routing; Static Route; Next-Hop","AI Initial Diagnosis: Static route for 10.1.0.0/24 is missing on R2. Default route forwards private packets to ISP.",high,85,edited,"Lead Network Engineer",edited,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19b2,"Floating Static Route Administrative Distance Conflict",Routing,medium,"Router","Router R1","Primary ISP vs Backup ISP","Backup link is taking priority over OSPF primary route. Traffic unnecessarily traversing costly metered cellular backup.","Primary link uses OSPF (AD 110). Backup static route was mistakenly configured with Administrative Distance 90 instead of 130.","Floating static route configured with AD 90 (lower than OSPF AD 110).","Layer 3 (Network)","Routing; Floating Static Route; Administrative Distance","Administrative distance of floating static route is set to 90, which is lower than OSPF (110). The router prefers the static backup link over the primary OSPF link.",high,96,accepted,"WAN Specialist",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19b7,"Recursive Static Route Next-Hop Unresolvable",Routing,medium,"Router","Router R1","172.16.1.0/24 Subnet","Configured static route ""ip route 172.16.1.0 255.255.255.0 10.5.5.5"" does not appear in ""show ip route"" table.","Next-hop IP 10.5.5.5 is not directly connected and has no route in R1 routing table.","Next-hop 10.5.5.5 cannot be resolved via any interface or route, so route is not installed in RIB.","Layer 3 (Network)","Routing; Recursive Routing; RIB","Static route next-hop 10.5.5.5 is not reachable in the routing table. Cisco IOS will not install a static route into the RIB unless the next-hop IP resolves to an active outgoing interface.",high,94,accepted,"Core Network Engineer",verified,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19bd,"OSPF Neighbor Adjacency Down — Area ID Mismatch",Routing,critical,"Router","R1 (Gi0/0 - Area 0)","R2 (Gi0/0 - Area 1)","R1 and R2 fail to form OSPF adjacency on link 10.0.0.0/30. ""show ip ospf neighbor"" returns empty. OSPF hello packets received but discarded.","R1 and R2 connected on GigabitEthernet0/0. R1 has network 10.0.0.0 0.0.0.3 area 0. R2 has network 10.0.0.0 0.0.0.3 area 1.","OSPF Area ID mismatch (Area 0 on R1 vs Area 1 on R2).","Layer 3 (Network)","Routing; OSPF; Area ID; Adjacency","OSPF Area ID mismatch on link 10.0.0.0/30. R1 is configured in Area 0 while R2 is configured in Area 1. OSPF requires matching Area IDs in Hello packets to establish Full adjacency.",high,95,accepted,"Routing Specialist",verified,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19c3,"OSPF Hello/Dead Timer Mismatch on Point-to-Point Link",Routing,high,"Router","R1 (Hello 10s)","R2 (Hello 30s)","OSPF adjacency continuously flaps or never forms between R1 and R2. Debug log: ""OSPF: Dead timer mismatch on Gi0/1"".","R1 Gi0/1 has ""ip ospf hello-interval 10"" and dead 40. R2 Gi0/1 was configured with ""ip ospf hello-interval 30"" and dead 120.","Hello/Dead timer mismatch (10/40 on R1 vs 30/120 on R2).","Layer 3 (Network)","Routing; OSPF; Hello Timer; Dead Interval","OSPF Hello and Dead intervals do not match on link Gi0/1. OSPF routers reject hello packets unless Hello and Dead timers match identically.",high,96,accepted,"NOC Engineer",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19c8,"OSPF Stuck in EXSTART/EXCHANGE State (MTU Mismatch)",Routing,critical,"Router","R1 (MTU 1500)","R2 (MTU 1400)","OSPF neighbor state is stuck in EXSTART/EXCHANGE and never reaches FULL. Large database description (DBD) packets are dropped.","R1 Gi0/1 has default MTU 1500. R2 Gi0/1 was configured with ""ip mtu 1400"" for a tunnel overlay.","Interface MTU mismatch (1500 on R1 vs 1400 on R2) causes DBD packets to fail exchange.","Layer 3 (Network)","Routing; OSPF; MTU; EXSTART","AI Initial Diagnosis: OSPF Network Type mismatch (Broadcast vs Point-to-Point) causing DR/BDR election conflict.",medium,62,rejected,"Principal Network Engineer",rejected,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19ce,"OSPF Passive Interface Blocking Adjacency on Core Uplink",Routing,high,"Router","R1 (Passive Gi0/0)","Core Router (R2)","R1 fails to form OSPF relationship with Core R2. ""show ip ospf neighbor"" shows no adjacency on Gi0/0.","Administrator used ""passive-interface default"" under router ospf 1 and forgot to issue ""no passive-interface Gi0/0"".","Gi0/0 is silenced by ""passive-interface default"" and missing ""no passive-interface Gi0/0"".","Layer 3 (Network)","Routing; OSPF; Passive Interface","OSPF is suppressed on Gi0/0 due to ""passive-interface default"". Passive interfaces do not transmit OSPF Hello packets, preventing neighbor formation on the Core link.",high,95,accepted,"Enterprise Architect",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19d3,"eBGP Multihop Missing on Loopback Peering Session",Routing,critical,"Router","R1 (AS 65001)","R2 (AS 65002)","eBGP session between R1 and R2 remains in ""Idle"" or ""Active"" state. TCP connection for BGP port 179 fails to establish.","R1 and R2 peer using loopback addresses (1.1.1.1 and 2.2.2.2). Default eBGP TTL is 1.","eBGP requires ""neighbor 2.2.2.2 ebgp-multihop 2"" when peering across loopbacks.","Layer 3 / Layer 4","Routing; BGP; eBGP; Multihop","eBGP peering is configured to loopback IP 2.2.2.2 without ""ebgp-multihop"". By default, eBGP packets have TTL=1 and are dropped by the receiving router when routed to a loopback interface.",high,94,accepted,"ISP Backbone Engineer",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19d9,"BGP Route Not Advertised — Network Mask Mismatch",Routing,high,"Router","Edge Router R1","Upstream Provider (AS 100)","Enterprise LAN subnet 10.10.0.0/24 is not being advertised to BGP neighbor. ""show ip bgp"" on R1 is empty for that prefix.","RIB has 10.10.0.0/24 directly connected. BGP config has ""network 10.10.0.0 mask 255.0.0.0"" (/8).","BGP network command mask (255.0.0.0) does not match exact RIB prefix (255.255.255.0).","Layer 3 (Network)","Routing; BGP; Network Statement; Prefix Mask","AI Initial Diagnosis: BGP neighbor session needs a soft reset (clear ip bgp * soft) to trigger outbound route refresh.",medium,58,edited,"Senior Routing Architect",edited,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19df,"iBGP Learned Route Inaccessible (Next-Hop Unreachable)",Routing,high,"Router","Internal Router R3","Edge Router R1","R3 learns external prefix 203.0.113.0/24 via iBGP from R1, but the route is not installed in R3 routing table. Route status is ""valid"" but not ""best"".","R1 learns prefix from eBGP with next-hop 198.51.100.1 and advertises to iBGP peer R3 without modifying the next-hop.","iBGP speaker R1 does not modify next-hop to itself, leaving next-hop 198.51.100.1 inaccessible to internal router R3.","Layer 3 (Network)","Routing; BGP; iBGP; Next-Hop-Self","iBGP does not change the next-hop attribute by default. R3 cannot reach external next-hop 198.51.100.1, causing the route to be marked (inaccessible) and rejected from the routing table.",high,95,accepted,"BGP Engineer",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19e4,"ACL Blocking SSH Access to Router Management Interface",ACL,high,"Router","Admin PC (192.168.1.50)","Router R1 (192.168.1.1)","Admin PC can ping Router R1 (192.168.1.1) but cannot establish SSH connection (port 22 connection refused/timed out).","Router R1 has access-class 10 applied on line vty 0 4. Standard ACL 10 permits 10.0.0.0/8 only.","Standard ACL 10 on line vty does not permit admin subnet 192.168.1.0/24.","Layer 4 / Layer 7","ACL; SSH; VTY Line; Access-Class","Access Control List 10 applied to line vty 0 4 restricts management access to 10.0.0.0/8 only. Incoming SSH from 192.168.1.50 hits the implicit deny statement.",high,95,accepted,"Security Admin",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19ea,"Inter-VLAN ACL Blocking HTTP Port 80 Traffic",ACL,medium,"Router","Client PC (VLAN 10)","Web Server (VLAN 30)","Clients can ping web server at 192.168.30.10, but web browser displays ""Connection Timed Out"" when loading http://192.168.30.10.","Extended ACL 101 applied inbound on subinterface Gi0/0.10 permits ICMP and TCP port 8080, but web server listens on port 80.","ACL 101 permits port 8080 instead of standard HTTP port 80 (or www).","Layer 4 (Transport)","ACL; Extended ACL; TCP Port; HTTP","Extended ACL 101 rule 20 specifies destination TCP port 8080 instead of port 80 (HTTP). HTTP web requests hit the deny ip any any rule.",high,95,accepted,"Firewall Admin",fixed,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19ef,"Standard ACL Placed Near Source Blocking All Outbound Traffic",ACL,high,"Router","Sales Host (192.168.10.5)","Internet & Corporate LAN","Sales PC 192.168.10.5 was intended to be blocked from accessing Server 192.168.30.50 only, but now cannot reach the Internet or any other subnet.","Admin configured standard ACL 1 ""access-list 1 deny 192.168.10.5"" and applied it inbound on Gi0/0 (Sales LAN gateway).","Standard ACL filters on source IP only and was placed near source, dropping all traffic from 192.168.10.5.","Layer 3 (Network)","ACL; Standard ACL; ACL Placement; Extended ACL","AI Initial Diagnosis: ACL 1 rule order is incorrect or needs a permit statement added.",medium,60,edited,"Senior Security Architect",edited,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19f5,"NAT Overload Missing ""overload"" Keyword on Source List",NAT,critical,"Router","LAN Hosts (192.168.1.0/24)","Internet (Public Web)","The first user to browse the web succeeds, but all subsequent users fail to connect to external sites.","Router R1 provides NAT between LAN Gi0/1 and WAN Gi0/0 (Public IP 203.0.113.1).","Static 1-to-1 dynamic NAT configured instead of PAT because ""overload"" keyword is omitted.","Layer 3 / Layer 4","NAT; PAT; NAT Overload; Port Address Translation","The NAT translation statement ""ip nat inside source list 1 interface Gi0/0"" is missing the ""overload"" keyword. Without overload, Cisco IOS performs 1-to-1 static NAT, locking the single public IP to the first host that transmits.",high,96,accepted,"Internet Gateway Admin",verified,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c19fb,"Missing ""ip nat inside"" Directive on Inside Interface",NAT,high,"Router","LAN Host (192.168.2.15)","Internet","LAN users cannot access internet. ""show ip nat statistics"" shows 0 translations and 0 packets translated.","New subinterface Gi0/1.20 was added for guest WiFi, but ""ip nat inside"" was omitted.","Subinterface Gi0/1.20 is not configured with ""ip nat inside"".","Layer 3 (Network)","NAT; Inside Interface; NAT Statistics","Interface Gi0/1.20 is missing ""ip nat inside"". Packets entering the router from VLAN 20 are routed toward the WAN without being translated, causing the ISP to drop unroutable private RFC 1918 addresses.",high,95,accepted,"Field Engineer",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1a00,"NAT Access-List Mismatch — New Subnet Excluded from NAT ACL",NAT,high,"Router","New Subnet (192.168.30.0/24)","Internet","VLAN 10 users browse web without issue. New VLAN 30 users cannot reach any external website.","NAT ACL 1 specifies ""permit 192.168.10.0 0.0.0.255"" only. Subnet 192.168.30.0/24 is omitted.","ACL 1 only permits 192.168.10.0/24; VLAN 30 (192.168.30.0/24) is denied by implicit deny.","Layer 3 (Network)","NAT; ACL; NAT Access List","Standard ACL 1 referenced by the NAT statement only matches 192.168.10.0/24. Packets from 192.168.30.0/24 are ignored by the NAT process and forwarded with private source IPs or dropped.",high,95,accepted,"Senior NetOps",fixed,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1a06,"Wireless Client Cannot Obtain IP via DHCP (AP Port in Default VLAN)",Wireless,medium,"Access Point + Switch","Wireless Tablet","DHCP Server (192.168.40.1)","Wireless clients associate with SSID ""CorpWiFi"" but receive APIPA 169.254.x.x address and cannot access local resources.","Access Point is connected to switch SW1 port Fa0/10. AP broadcasts multiple SSIDs (CorpWiFi mapping to VLAN 40, GuestWiFi mapping to VLAN 50). SW1 port Fa0/10 was configured as access VLAN 1.","Switchport Fa0/10 connecting multi-SSID AP is configured as access VLAN 1 instead of 802.1Q trunk.","Layer 2 (Data Link)","Wireless; Access Point; Trunking; SSID-to-VLAN","AI Initial Diagnosis: Switchport Fa0/10 is in access mode VLAN 1 and should be changed to access VLAN 40.",medium,68,edited,"Wireless Network Architect",edited,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1a0c,"WPA2-PSK Authentication Failure on Employee SSID",Wireless,medium,"WLC + AP","Mobile Phone","Wireless LAN Controller","Mobile devices fail to connect to ""CorpSecure"" with ""Authentication error"" or ""Incorrect password"".","WLC configured with WPA2-PSK AES. Pre-shared key updated on WLC yesterday, but group policy on clients has stale key.","WPA2 pre-shared key mismatch between client profile and WLC.","Layer 2 (Security)","Wireless; WPA2-PSK; WLC; Security","WPA2 pre-shared key mismatch between wireless client credentials and WLC WLAN 1 profile.",high,90,accepted,"Wireless Admin",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1a11,"Lightweight AP CAPWAP Discovery Failure (Missing DHCP Option 43)",Wireless,high,"Lightweight AP","LAP-101","WLC (10.10.10.5)","Lightweight AP powers on, receives an IP address on management VLAN 100, but fails to join WLC. AP console logs: ""Translating CISCO-CAPWAP-CONTROLLER... Failed to find WLC"".","AP is on subnet 192.168.100.0/24. WLC is on 10.10.10.5. DHCP pool for VLAN 100 is missing Option 43 (or DNS entry CISCO-CAPWAP-CONTROLLER).","DHCP pool is missing Option 43 hex string specifying WLC management IP 10.10.10.5.","Layer 7 (Application)","Wireless; CAPWAP; Option 43; Lightweight AP","Lightweight AP cannot discover the WLC across subnets because DHCP pool AP_MGMT lacks Option 43 (vendor-specific option pointing to WLC IP 10.10.10.5).",high,94,accepted,"Mobility Engineer",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1a16,"STP Root Bridge Contention — Access Switch Winning Root Election",Other,high,"Switch","SW-Core","SW-Access3","Sub-optimal Layer 2 traffic paths across campus. All traffic hairpins through an access switch in the wiring closet. High CPU on access switch.","Core switch SW-Core has default STP priority 32768 (MAC 0001.c789.1111). Access switch SW-Access3 has default priority 32768 (MAC 0000.0c12.3456 - lower MAC won election).","STP priority was left at default (32768) on all switches, causing oldest access switch to win root bridge.","Layer 2 (Data Link)","STP; Root Bridge; Spanning Tree; Layer 2 Design","All switches have default Spanning Tree priority (32768). Access switch SW-Access3 won the Root Bridge election due to having the lowest numerical MAC address, creating inefficient spanning-tree topology.",high,96,accepted,"Campus Network Lead",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1a1b,"BPDU Guard Err-Disabled Port on Access Switch",Other,medium,"Switch","Switch Port Fa0/8","Rogue Mini-Switch","Port Fa0/8 went down suddenly. LED is amber. Port status shows ""err-disabled"". Console log: %SPANTREE-2-BLOCK_BPDUGUARD: Received BPDU on port Fa0/8 with BPDU Guard enabled.","User plugged an unmanaged 5-port desktop switch into wall jack Fa0/8. Port has PortFast and BPDU Guard enabled.","BPDU Guard disabled the port upon detecting BPDUs from unauthorized rogue switch.","Layer 2 (Data Link)","STP; BPDU Guard; PortFast; Err-Disabled","BPDU Guard shut down interface Fa0/8 (err-disabled) because it received Spanning Tree Bridge Protocol Data Units (BPDUs) on a PortFast-enabled access port, preventing unauthorized switches from altering topology.",high,98,accepted,"Security Analyst",verified,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1a21,"Port Security Violation — Max MAC Count Exceeded",Other,medium,"Switch","Port Fa0/12","Switch SW1","Port Fa0/12 is shut down with amber LED. Interface status shows ""err-disabled"". Console log: %PORT_SECURITY-2-PSECURE_VIOLATION.","Port Fa0/12 has ""switchport port-security maximum 1"" with violation action ""shutdown"". User plugged a second device into a desk hub.","Port security maximum MAC count (1) exceeded, triggering secure-shutdown violation.","Layer 2 (Data Link)","Port Security; MAC Address; Err-Disabled; Violation","Port Security violation on Fa0/12. A second MAC address (0050.7966.6802) was detected on a port configured with ""maximum 1"" and ""violation shutdown"", causing the switch to disable the interface.",high,98,accepted,"Security Operations",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832d6455a03a9e430c1a26,"Sticky MAC Address Mismatch After PC Replacement",Other,low,"Switch","New Replacement PC","Office Switch Port (Fa0/15)","IT technician replaced a defective desktop on Fa0/15. The new PC cannot obtain link or send packets.","Port Fa0/15 has static/sticky MAC address bound to the old PC MAC (0011.2233.4455).","Sticky MAC 0011.2233.4455 does not match the new replacement PC MAC address.","Layer 2 (Data Link)","Port Security; Sticky MAC; Hardware Replacement","Port Fa0/15 has sticky MAC address 0011.2233.4455 hardcoded in running-config from the retired PC. The new PC has a different MAC address and is blocked by Port Security.",high,95,accepted,"Desktop Support Lead",approved,Mon Aug 17 2026 21:18:52 GMT+0530 (India Standard Time)
6a832dce1d3ce5cd11c6a1e3,"E2E Test: OSPF MTU Mismatch",Routing,high,"Router","R1","R2","OSPF adjacency stuck in EXSTART state between R1 and R2","R1 Gi0/0 (MTU 1500) connects to R2 Gi0/0 (MTU 1400)","","","","Missing or incorrect route in the routing table. The router does not have a route to the destination network, causing packets to be dropped.",high,80,rejected,"QA Lead",verified,Mon Aug 17 2026 21:20:38 GMT+0530 (India Standard Time)
